CMDLINE python app.py
MEM 13.390625 1756915651.2508
MEM 13.390625 1756915651.3519
MEM 13.390625 1756915651.4575
MEM 13.390625 1756915651.5629
MEM 13.390625 1756915651.6679
MEM 13.390625 1756915651.7684
MEM 13.390625 1756915651.8736
MEM 13.390625 1756915651.9789
MEM 13.390625 1756915652.0841
MEM 13.343750 1756915652.1894
MEM 13.343750 1756915652.2946
MEM 13.359375 1756915652.3998
MEM 13.359375 1756915652.5011
MEM 13.359375 1756915652.6059
MEM 13.359375 1756915652.7083
MEM 13.359375 1756915652.8088
MEM 13.359375 1756915652.9139
MEM 13.359375 1756915653.0193
MEM 13.359375 1756915653.1207
MEM 13.359375 1756915653.2259
MEM 13.359375 1756915653.3314
MEM 13.390625 1756915653.4322
MEM 13.359375 1756915653.5347
MEM 13.359375 1756915653.6369
MEM 13.359375 1756915653.7391
MEM 13.359375 1756915653.8440
MEM 13.359375 1756915653.9474
MEM 13.359375 1756915654.0526
MEM 13.359375 1756915654.1555
MEM 13.359375 1756915654.2607
MEM 13.359375 1756915654.3642
MEM 13.359375 1756915654.4657
MEM 13.359375 1756915654.5662
MEM 13.359375 1756915654.6714
MEM 13.359375 1756915654.7742
MEM 13.359375 1756915654.8794
MEM 13.359375 1756915654.9840
MEM 13.359375 1756915655.0885
MEM 13.359375 1756915655.1938
MEM 13.359375 1756915655.2990
MEM 13.390625 1756915655.4014
MEM 13.390625 1756915655.5066
MEM 13.390625 1756915655.6111
MEM 13.390625 1756915655.7131
MEM 13.359375 1756915655.8194
MEM 13.359375 1756915655.9209
MEM 13.359375 1756915656.0260
MEM 13.359375 1756915656.1313
MEM 13.328125 1756915656.2322
MEM 13.328125 1756915656.3375
MEM 13.375000 1756915656.4413
MEM 13.375000 1756915656.5422
MEM 13.375000 1756915656.6465
MEM 13.375000 1756915656.7489
MEM 13.375000 1756915656.8514
MEM 13.375000 1756915656.9569
MEM 13.375000 1756915657.0611
MEM 13.375000 1756915657.1665
